version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
paralelo,12,2000000,142,sostenido,1.61190,0.00020,3.30720,0.00020,4.92040,9.23960,108.230
paralelo,12,2000000,143,sostenido,1.40870,0.00040,2.64670,0.00010,4.05680,8.15340,122.648
paralelo,12,2000000,144,sostenido,1.07360,0.00020,2.44030,0.00000,3.51530,7.48160,133.661
paralelo,12,2000000,145,sostenido,1.05430,0.00010,2.45720,0.00010,3.51260,7.80300,128.156
paralelo,12,2000000,146,sostenido,1.49910,0.00030,2.52960,0.00000,4.03020,7.83310,127.663
paralelo,12,2000000,147,sostenido,1.15070,0.00020,2.40380,0.00020,3.55560,7.81360,127.982
paralelo,12,2000000,148,sostenido,1.28380,0.00020,2.89770,0.00010,4.18310,8.10750,123.343
paralelo,12,2000000,149,sostenido,1.57590,0.00020,2.98370,0.00010,4.56100,11.83350,84.506
paralelo,12,2000000,150,sostenido,4.31600,0.00040,14.15760,0.00020,18.47530,23.99530,41.675
paralelo,12,2000000,151,sostenido,1.95170,0.00040,8.38560,0.00050,10.33980,15.19470,65.812
paralelo,12,2000000,152,sostenido,1.72850,0.00030,4.71180,0.00030,6.44250,11.22230,89.108
paralelo,12,2000000,153,sostenido,1.45440,0.00030,3.49970,0.00020,4.95550,8.86730,112.774
paralelo,12,2000000,154,sostenido,1.62020,0.00020,3.67540,0.00020,5.29710,9.62690,103.876
paralelo,12,2000000,155,sostenido,1.73690,0.00020,5.37980,0.00040,7.11870,11.17280,89.503
paralelo,12,2000000,156,sostenido,2.78040,0.00040,5.82530,0.00020,8.60760,12.90840,77.469
paralelo,12,2000000,157,sostenido,1.80280,0.00030,6.97710,0.00020,8.78160,12.75500,78.401
paralelo,12,2000000,158,sostenido,1.68090,0.00040,4.61160,0.00020,6.29430,10.70370,93.426
paralelo,12,2000000,159,sostenido,1.47080,0.00030,3.78800,0.00020,5.26030,9.43880,105.946
paralelo,12,2000000,160,sostenido,1.89120,0.00040,5.09800,0.00020,6.99090,10.92010,91.574
paralelo,12,2000000,161,sostenido,1.09630,0.00020,2.43620,0.00010,3.53370,7.51170,133.126
paralelo,12,2000000,162,sostenido,1.11880,0.00030,3.75610,0.00020,4.87680,8.85840,112.887
