Equipo     : Intel64 Family 6 Model 151 Stepping 5, GenuineIntel | 12 hilos logicos
[169/180] N=2000000 paralelo 8 hilo(s), repeticion 9
[170/180] N=2000000 paralelo 8 hilo(s), repeticion 10
[171/180] N=2000000 paralelo 12 hilo(s), repeticion 1
[172/180] N=2000000 paralelo 12 hilo(s), repeticion 2
[173/180] N=2000000 paralelo 12 hilo(s), repeticion 3
[174/180] N=2000000 paralelo 12 hilo(s), repeticion 4
[175/180] N=2000000 paralelo 12 hilo(s), repeticion 5
[176/180] N=2000000 paralelo 12 hilo(s), repeticion 6
[177/180] N=2000000 paralelo 12 hilo(s), repeticion 7
[178/180] N=2000000 paralelo 12 hilo(s), repeticion 8
[179/180] N=2000000 paralelo 12 hilo(s), repeticion 9
[180/180] N=2000000 paralelo 12 hilo(s), repeticion 10

Archivos generados en metricas/resultados/
  mediciones_crudas.csv
  resumen.csv
  speedup_vs_hilos.png
  eficiencia_vs_hilos.png
  tiempo_cpu_vs_hilos.png
  fps_vs_hilos.png
  etapas_por_fotograma.png
  generacion_vs_hilos.png
  speedup_vs_n.png
Ejecucion adicional con detalle por fotograma...
  fps_por_fotograma.png

      N    hilos   CPU sec (ms)   CPU par (ms)   speedup   eficiencia   FPS par
  ----------------------------------------------------------------------------
   100000      1          0.508          0.643      0.79x        79.0%     960.5
   100000      2          0.508          0.432      1.18x        58.8%    1204.4
   100000      4          0.508          0.374      1.36x        34.0%    1295.0
   100000      8          0.508          0.361      1.41x        17.6%    1315.6
   100000     12          0.508          0.405      1.25x        10.4%    1234.9
   500000      1          2.994          3.634      0.82x        82.4%     200.8
   500000      2          2.994          2.028      1.48x        73.8%     299.8
   500000      4          2.994          1.385      2.16x        54.0%     371.1
   500000      8          2.994          1.134      2.64x        33.0%     407.7
   500000     12          2.994          1.190      2.52x        21.0%     393.0
  2000000      1         12.234         14.958      0.82x        81.8%      43.2
  2000000      2         12.234          8.417      1.45x        72.7%      76.3
  2000000      4         12.234          5.983      2.04x        51.1%      98.7
  2000000      8         12.234          4.476      2.73x        34.2%     116.7
  2000000     12         12.234          4.484      2.73x        22.7%     116.9
