version,hilos,n_solicitado,frame,fase,update_ms,mobs_ms,build_ms,sombras_ms,cpu_ms,frame_ms,fps
secuencial,1,2000000,91,sostenido,3.43820,0.00050,8.66540,0.00000,12.10530,18.11000,55.218
secuencial,1,2000000,92,sostenido,4.60780,0.00050,14.70650,0.00020,19.31600,24.81710,40.295
secuencial,1,2000000,93,sostenido,4.08860,0.00040,8.66630,0.00000,12.75660,18.34670,54.506
secuencial,1,2000000,94,sostenido,3.65720,0.00050,12.20550,0.00000,15.86450,21.73600,46.007
secuencial,1,2000000,95,sostenido,3.64210,0.00050,9.29950,0.00010,12.94320,19.34600,51.690
secuencial,1,2000000,96,sostenido,3.78380,0.00040,15.50040,0.00010,19.28590,26.75760,37.373
secuencial,1,2000000,97,sostenido,4.31850,0.00040,9.18230,0.00020,13.50220,21.77750,45.919
secuencial,1,2000000,98,sostenido,3.42720,0.00030,8.73290,0.00010,12.16170,19.87560,50.313
secuencial,1,2000000,99,sostenido,3.48660,0.00030,10.48240,0.00010,13.97050,20.85010,47.961
secuencial,1,2000000,100,sostenido,3.80750,0.00040,10.48420,0.00020,14.29360,21.45950,46.599
secuencial,1,2000000,101,sostenido,4.17310,0.00040,9.06850,0.00020,13.24300,24.35000,41.068
secuencial,1,2000000,102,sostenido,3.49740,0.00040,9.18220,0.00000,12.68110,19.49800,51.287
secuencial,1,2000000,103,sostenido,3.30350,0.00040,8.76510,0.00010,12.07030,19.03310,52.540
secuencial,1,2000000,104,sostenido,3.27510,0.00040,8.79530,0.00020,12.07180,18.86800,53.000
secuencial,1,2000000,105,sostenido,3.37810,0.00030,9.69510,0.00010,13.07450,20.91710,47.808
secuencial,1,2000000,106,sostenido,3.54850,0.00030,9.86180,0.00010,13.41190,21.19880,47.172
secuencial,1,2000000,107,sostenido,3.21360,0.00040,8.84280,0.00010,12.05800,19.44830,51.418
secuencial,1,2000000,108,sostenido,3.16980,0.00040,8.50180,0.00020,11.67320,18.36980,54.437
secuencial,1,2000000,109,sostenido,3.56800,0.00040,9.71870,0.00000,13.28830,20.12610,49.687
secuencial,1,2000000,110,sostenido,4.06860,0.00050,8.74050,0.00000,12.81090,20.90480,47.836
secuencial,1,2000000,111,sostenido,4.16490,0.00030,8.93340,0.00030,13.10000,27.51210,36.348
secuencial,1,2000000,112,sostenido,7.82920,0.00050,13.78200,0.00010,21.61310,29.92730,33.414
secuencial,1,2000000,113,sostenido,4.53880,0.00040,11.90540,0.00010,16.44570,23.40040,42.734
secuencial,1,2000000,114,sostenido,4.09410,0.00040,11.42560,0.00020,15.52140,21.91880,45.623
secuencial,1,2000000,115,sostenido,4.33050,0.00040,9.61070,0.00000,13.94290,19.29380,51.830
secuencial,1,2000000,116,sostenido,3.30710,0.00050,8.66400,0.00010,11.97290,17.40790,57.445
secuencial,1,2000000,117,sostenido,3.23700,0.00020,8.92580,0.00020,12.16380,17.73370,56.390
secuencial,1,2000000,118,sostenido,3.23160,0.00020,9.55140,0.00020,12.78440,18.18210,54.999
secuencial,1,2000000,119,sostenido,3.17120,0.00030,8.48730,0.00010,11.66000,17.23410,58.024
secuencial,1,2000000,120,sostenido,3.43070,0.00040,8.36210,0.00010,11.79450,17.13530,58.359
secuencial,1,2000000,121,sostenido,3.61060,0.00030,8.42740,0.00020,12.03960,17.68470,56.546
secuencial,1,2000000,122,sostenido,5.23750,0.00040,10.98620,0.00010,16.22510,21.61030,46.274
secuencial,1,2000000,123,sostenido,5.04460,0.00030,10.82960,0.00020,15.87560,21.79200,45.888
secuencial,1,2000000,124,sostenido,3.63510,0.00020,8.78430,0.00010,12.42070,18.26360,54.754
secuencial,1,2000000,125,sostenido,3.39970,0.00040,8.65850,0.00010,12.05970,17.95280,55.702
secuencial,1,2000000,126,sostenido,3.24550,0.00030,9.26900,0.00010,12.51600,18.17220,55.029
secuencial,1,2000000,127,sostenido,3.34400,0.00020,8.78350,0.00010,12.12890,17.51870,57.082
secuencial,1,2000000,128,sostenido,3.23630,0.00030,11.58320,0.00030,14.82120,20.61420,48.510
secuencial,1,2000000,129,sostenido,5.40920,0.00040,14.30040,0.00020,19.71150,25.63600,39.008
