version,hilos,n_solicitado,repeticion,bloques_generados,bloques_dibujados_prom,frames_medidos,fase_predominante,gen_ms_prom,update_ms_prom,build_ms_prom,cpu_ms_prom,cpu_ms_desv,frame_ms_prom,frame_ms_p95,fps_prom,fps_min,frames_bajo_60fps
paralelo,4,500000,1,482184,81660.0,300,sostenido,11.5184,0.3439,1.0775,1.4227,0.2744,2.7233,3.2298,367.1972,227.4899,0
paralelo,4,500000,2,482184,81660.0,300,sostenido,11.2427,0.3347,1.0153,1.3513,0.2448,2.6493,3.1640,377.4525,269.7235,0
paralelo,4,500000,3,482184,81660.0,300,sostenido,11.4469,0.3480,1.0542,1.4035,0.2571,2.7171,3.1777,368.0405,282.7175,0
paralelo,4,500000,4,482184,81660.0,300,sostenido,11.4557,0.3372,1.0478,1.3862,0.2727,2.7025,3.2091,370.0313,271.8573,0
paralelo,4,500000,5,482184,81660.0,300,sostenido,11.1817,0.3544,1.0930,1.4485,0.2465,2.7666,3.2199,361.4592,280.1434,0
paralelo,4,500000,6,482184,81660.0,300,sostenido,12.3450,0.3469,1.0701,1.4181,0.2680,2.7290,3.2528,366.4358,282.9895,0
paralelo,4,500000,7,482184,81660.0,300,sostenido,11.2506,0.3337,0.9915,1.3265,0.3325,2.6365,3.2445,379.2975,178.0817,0
paralelo,4,500000,8,482184,81660.0,300,sostenido,10.7674,0.3277,0.9631,1.2920,0.2357,2.5957,3.1042,385.2584,264.1519,0
paralelo,4,500000,9,482184,81660.0,300,sostenido,11.2068,0.3510,1.0451,1.3973,0.2715,2.7143,3.2725,368.4178,239.1429,0
paralelo,4,500000,10,482184,81660.0,300,sostenido,12.0266,0.3474,1.0550,1.4037,0.3040,2.7250,3.3462,366.9768,243.4156,0
paralelo,8,500000,1,482184,81660.0,300,sostenido,8.2936,0.2284,0.8083,1.0379,0.1192,2.3336,2.6859,428.5310,312.6857,0
paralelo,8,500000,2,482184,81660.0,300,sostenido,8.2051,0.2362,0.8377,1.0751,0.1338,2.3860,2.8008,419.1053,316.2955,0
paralelo,8,500000,3,482184,81660.0,300,sostenido,8.0405,0.2393,0.9396,1.1802,0.1943,2.4997,2.9921,400.0496,284.2443,0
